,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
48,48,mths_since_earliest_cr_line:248-270,0.08393306465361326,0.0012494840229043164,mths_since_earliest_cr_line,6.56589601706567,7.0,0.43410398293432984,7.0
49,49,mths_since_earliest_cr_line:271-352,0.11636069927603597,4.368363875507143e-07,mths_since_earliest_cr_line,9.102637382210856,9.0,-0.10263738221085639,9.0
50,50,mths_since_earliest_cr_line:>352,0.11913454185826892,7.386822530257038e-06,mths_since_earliest_cr_line,9.319628886546049,9.0,-0.3196288865460488,9.0
51,51,inq_last_6mths:0,0.6578483747744854,7.696692550165588e-14,inq_last_6mths,51.46200775094625,51.0,-0.462007750946249,51.0
52,52,inq_last_6mths:1-2,0.512446901971502,5.52911101271077e-09,inq_last_6mths,40.08757557582499,40.0,-0.08757557582499231,40.0
53,53,inq_last_6mths:3-6,0.301817476178649,0.000644510092815751,inq_last_6mths,23.610506454167624,24.0,0.3894935458323765,24.0
54,54,acc_now_delinq:>=1,0.1913943636125396,0.07145207126880519,acc_now_delinq,14.97235320691097,15.0,0.027646793089029842,15.0
55,55,annual_inc:20K-30K,-0.07726997753306,0.06620689711767219,annual_inc,-6.044657606830654,-6.0,0.04465760683065412,-6.0
56,56,annual_inc:30K-40K,-0.01359829219343116,0.7364993413431187,annual_inc,-1.0637639995658277,-1.0,0.06376399956582768,-1.0
57,57,annual_inc:40K-50K,0.08170505082127794,0.04289702332842349,annual_inc,6.391603475645071,6.0,-0.3916034756450708,6.0
58,58,annual_inc:50K-60K,0.14810694980548436,0.0002907639017471312,annual_inc,11.58607559298398,12.0,0.4139244070160206,12.0
59,59,annual_inc:60K-70K,0.22388437287819443,8.537504189682784e-08,annual_inc,17.513974000958864,18.0,0.48602599904113575,18.0
60,60,annual_inc:70K-80K,0.29729115594176797,3.1320686739576216e-12,annual_inc,23.256422540540125,23.0,-0.25642254054012525,23.0
61,61,annual_inc:80K-90K,0.37562358372218085,2.7677739824717992e-17,annual_inc,29.384193255133663,29.0,-0.3841932551336633,29.0
62,62,annual_inc:90K-100K,0.39420413351054784,1.0198815077625023e-17,annual_inc,30.837708128608227,31.0,0.1622918713917727,31.0
63,63,annual_inc:100K-120K,0.47081476887955953,5.417092242597031e-25,annual_inc,36.83078687189238,37.0,0.16921312810762146,37.0
64,64,annual_inc:120K-140K,0.5594625222971786,3.809648812054652e-27,annual_inc,43.76550245136823,44.0,0.2344975486317722,44.0
65,65,annual_inc:>140K,0.4981237373796697,1.0057136807104642e-25,annual_inc,38.967106428970844,39.0,0.03289357102915602,39.0
66,66,dti:<=1.4,0.2613747426522101,0.0017310964680289336,dti,20.446761819364017,20.0,-0.44676181936401704,20.0
67,67,dti:1.4-3.5,0.37712365207722115,7.324918669065586e-08,dti,29.50154024917389,30.0,0.49845975082611105,30.0
68,68,dti:3.5-7.7,0.3934049391375685,7.090577118830697e-11,dti,30.775188939394038,31.0,0.2248110606059619,31.0
69,69,dti:7.7-10.5,0.32877874245827055,4.2099800360737074e-08,dti,25.719626043819034,26.0,0.2803739561809664,26.0
70,70,dti:10.5-16.1,0.2491019406699788,1.7269468773785357e-05,dti,19.48668795591193,19.0,-0.48668795591192904,19.0
71,71,dti:16.1-20.3,0.14795862345745936,0.010806999406910324,dti,11.574472354358742,12.0,0.42552764564125845,12.0
72,72,dti:20.3-21.7,0.13306470081694083,0.028475758132558905,dti,10.409354081274753,10.0,-0.4093540812747527,10.0
73,73,dti:21.7-22.4,0.10038600536144131,0.12145770815632015,dti,7.852972788399734,8.0,0.14702721160026577,8.0
74,74,dti:22.4-35,0.05889114565882791,0.3046340614881903,dti,4.606922674842261,5.0,0.39307732515773885,5.0
75,75,mths_since_last_delinq:Missing,0.1106874846558294,0.033926323011047754,mths_since_last_delinq,8.658834484836616,9.0,0.3411655151633841,9.0
76,76,mths_since_last_delinq:4-30,0.1384568703318818,0.008634581245614014,mths_since_last_delinq,10.831171448335109,11.0,0.16882855166489108,11.0
77,77,mths_since_last_delinq:31-56,0.18556801337055925,0.0005104122019685211,mths_since_last_delinq,14.516570852177168,15.0,0.4834291478228323,16.0
78,78,mths_since_last_delinq:>=57,0.13744455107103196,0.0119354459528911,mths_since_last_delinq,10.751979975579482,11.0,0.24802002442051752,11.0
79,79,mths_since_last_record:Missing,0.32486665392058567,7.072147269959185e-05,mths_since_last_record,25.41359210291625,25.0,-0.41359210291625104,25.0
80,80,mths_since_last_record:3-20,0.44883786455677094,0.0002658878074864522,mths_since_last_record,35.11158277567666,35.0,-0.1115827756766592,35.0
81,81,mths_since_last_record:21-31,0.3595217497232456,0.0014451838354266836,mths_since_last_record,28.124582776743843,28.0,-0.12458277674384277,28.0
82,82,mths_since_last_record:32-80,0.5089895581134866,3.0585627019129344e-09,mths_since_last_record,39.81711529463958,40.0,0.18288470536042212,40.0
83,83,mths_since_last_record:81-86,0.18253183328359063,0.07582670955703515,mths_since_last_record,14.27905727129706,14.0,-0.2790572712970594,14.0
84,84,mths_since_last_record:>86,0.23623404125466924,0.005241560324898252,mths_since_last_record,18.480060950599242,18.0,-0.4800609505992419,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
